siren,siret,adresse,postcode,city
5471768,547176800019,  AV,44500,LA BAULE-ESCOUBLAC
5471784,547178400016,  RUE,44290,GUEMENE-PENFAO
5471800,547180000010,145  AV,44500,LA BAULE-ESCOUBLAC
5471800,547180000028,  RTE,44350,GUERANDE
5471842,547184200012,  PL,44130,BOUVRON
5471891,547189100019,  ,44500,LA BAULE-ESCOUBLAC
5471941,547194100012,  AV,44500,LA BAULE-ESCOUBLAC
5471958,547195800016,15  AV,44500,LA BAULE-ESCOUBLAC
5472014,547201400017,  RTE,44160,PONTCHATEAU
5472022,547202200028,  BD,44380,PORNICHET
5472063,547206300014,163 B ,44410,LA CHAPELLE-DES-MARAIS
5472238,547223800020,  ,44630,PLESSE
5472253,547225300011,276  AV,44500,LA BAULE-ESCOUBLAC
5472261,547226100014,  ,44380,PORNICHET
5472683,547268300019,  ,44530,SAINT-GILDAS-DES-BOIS
5472857,547285700019,  ,44160,SAINTE-ANNE-SUR-BRIVET
5472873,547287300016,  AV,44380,PORNICHET
5472980,547298000019,  ,44360,CORDEMAIS
5473020,547302000013,10  BD,44290,GUEMENE-PENFAO
5473152,547315200048,3  ALL,06270,VILLENEUVE-LOUBET
5473202,547320200017,2  PL,44220,COUERON
5473202,547320200025,5  RUE,44220,COUERON
5473244,547324400027,40 B AV,44380,PORNICHET
5473285,547328500012,29  RUE,44600,SAINT-NAZAIRE
5473327,547332700012,8  ,44490,LE CROISIC
5473418,547341800019,  LD,44460,FEGREAC
5473442,547344200019,  RTE,44600,SAINT-NAZAIRE
5473822,547382200038,  IMP,44260,SAVENAY
5473921,547392100012,88  AV,44600,SAINT-NAZAIRE
5473939,547393900014,  RUE,44490,LE CROISIC
5473988,547398800011,  ,44420,LA TURBALLE
5474200,547420000010,  AV,44410,HERBIGNAC
5474440,547444000012,31  BD,44360,SAINT-ETIENNE-DE-MONTLUC
5474481,547448100016,71  AV,44600,SAINT-NAZAIRE
5474507,547450700018,  ALL,44500,LA BAULE-ESCOUBLAC
5474564,547456400019,  BD,44220,COUERON
5474598,547459800017,8  AV,44380,PORNICHET
5474630,547463000018,32  AV,44600,SAINT-NAZAIRE
5474747,547474700010,  LD,44630,PLESSE
5474770,547477000012,  RUE,44600,SAINT-NAZAIRE
5474945,547494500010,  RTE,44530,GUENROUET
5474960,547496000019,86  RUE,44600,SAINT-NAZAIRE
5475215,547521500017,  LD,44630,PLESSE
5475314,547531400018,1  RUE,44510,LE POULIGUEN
5480066,548006600124,7  RTE,44100,NANTES
5480082,548008200014,  ,44600,SAINT-NAZAIRE
5480165,548016500017,  AV,44500,LA BAULE-ESCOUBLAC
5480231,548023100017,220  AV,44500,LA BAULE-ESCOUBLAC
5480256,548025600014,6  RUE,44740,BATZ-SUR-MER
5480546,548054600018,  ,44350,GUERANDE
5480546,548054600059,322  BD,33130,BEGLES
5480546,548054600067,  ,51210,MONTMIRAIL
5510037,551003700012,1  RUE,80510,LONG
5510060,551006000014,2  RTE,80210,TOURS-EN-VIMEU
5510086,551008600019,  ,80150,CANCHY
5510102,551010200014,142  CHS,80100,ABBEVILLE
5510326,551032600019,  ,80135,SAINT-RIQUIER
5510367,551036700013,  HAM,80490,BAILLEUL
5510490,551049000013,  ,80120,QUEND
5510508,551050800020,  RUE,80220,GAMACHES
5510532,551053200053,691  RUE,80000,AMIENS
5510623,551062300027,7  RUE,80510,LONG
5510631,551063100012,13  RUE,80210,FEUQUIERES-EN-VIMEU
5510722,551072200019,  ,80135,ONEUX
5510854,551085400010,  RUE,80100,ABBEVILLE
5511027,551102700012,15  RUE,80120,RUE
5511050,551105000014,8  RTE,80120,FORT-MAHON-PLAGE
5511100,551110000017,  CHS,80100,ABBEVILLE
5511142,551114200019,53  RUE,80210,FEUQUIERES-EN-VIMEU
