,siren,siret,adresse,postcode,city
357,5550108,555010800012,PL+ARMES,4140,SEYNE
358,5550116,555011600023,Z I D UVERNET FOURS,4400,UVERNET-FOURS
359,5550124,555012400019,RTE+NATIONALE 96,4600,CHATEAU-ARNOUX-SAINT-AUBAN
360,5550157,555015700019,PL+TAMPINET,4000,DIGNE-LES-BAINS
361,5550207,555020700012,QU DE LA GARE GAUBERT,4000,DIGNE-LES-BAINS
362,5550231,555023100012,,4700,ORAISON
363,5550256,555025600019,,4210,VALENSOLE
364,5570122,557012200019,85.0+AV+DU GENERAL DE GAULLE,44500,LA BAULE-ESCOUBLAC
365,5570296,557029600011,26.0+RUE+PIERRE VERGNIAUD,44600,SAINT-NAZAIRE
366,5570338,557033800011,RUE+DE REDON,44130,BLAIN
367,5570361,557036100013,13.0+AV+ALBERT DE MUN,44600,SAINT-NAZAIRE
368,5570387,557038700018,RUE+D ANJOU,44600,SAINT-NAZAIRE
369,5570445,557044500014,5.0+AV+ROMANO,44500,LA BAULE-ESCOUBLAC
370,5570452,557045200010,RUE+DU PORT,44600,SAINT-NAZAIRE
