restaurant_id,name,cuisine,borough,address,score,lng,lat
50012936,El Ay Si,Spanish,Queens,47-38 Vernon Boulevard 11101,13.0,-73.953825,40.744456
50012942,Joos,"Juice, Smoothies, Fruit Salads",Queens,37-12 Main Street 11354,12.0,-73.8311982,40.7610882
50012946,Wenzhou Cuisine,Chinese,Queens,121-17 14 Road 11356,14.0,-73.8460288,40.7850217
50012961,68 Deli Canal Store,Chinese,Manhattan,97 Canal Street 10002,6.0,-73.9939157,40.7154794
50012963,Starbucks Coffee,Café/Coffee/Tea,Queens,30-18 Astoria Boulevard 11102,7.0,-73.918519,40.769919
50012974,Romeo'S Pizzeria,Pizza/Italian,Staten Island,34 Jefferson Blvd 10312,19.0,-74.17808459999999,40.5415699
50012977,Eat Express,American ,Queens,1524 Colg Point Blvd 11356,7.0,-73.846121,40.783534
50012978,Long Cheng Food,Chinese,Queens,59-08 Kissena Boulevard 11355,11.0,-73.8150785,40.7404919
50012993,Bank Of Nova Scotia Cafe,American ,Manhattan,250 Vesey Street 10281,9.0,-74.01556699999999,40.7141115
50012995,Great Burrito,Mexican,Manhattan,100 West   23 Street 10011,13.0,-73.99321619999999,40.74284859999999
50012997,Quynh'S Vietnamese Sandwiches,Asian,Manhattan,99 Nassau Street 10038,10.0,-74.0077594,40.7104929
50013000,Joey Pepperoni,Pizza,Manhattan,493 2 Avenue 10016,11.0,-73.979044,40.7409899
50013002,Joey Pepperoni,Pizza,Manhattan,381 Broadway 10013,11.0,-74.0032061,40.7182583
